the_geom,OBJECTID,FIRESTATIONS_ID,ADDRESS,NAME,FACILITY,STATION_NUMBER,TYPE,STATUS,DEPARTMENT,SECONDARY_FACILITY,JURISDICTION,Y_COORDINATE,X_COORDINATE,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,RESOURCES
POINT (-97.65576809726 30.216123879564),149,5,"2434 Cardinal Loop, Del Valle, TX 78617",FS0042,FIRE STATION,42,11,AFD BUILT,AFD,EMS,AUSTIN,10052516,3142238,FD2396,06/14/2016 04:29:38 PM +0000,,,"ENG, LAD, BC 5"
POINT (-97.767423821169 30.253042678916),160,34,"1605 Kinney Ave, Austin, TX 78704",FS0011,FIRE STATION,11,10,AFD BUILT,AFD,,AUSTIN,10065109,3106671,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,01/06/2016 11:03:16 AM +0000,ENG
POINT (-97.601993260616 30.562616459651),80,144,"211 Limmer Loop, Round Rock, TX 78665",HT003,FIRE STATION,HT 3,0,BUILT,HUTTO,,HUTTO,,,FD2910,02/26/2024 05:00:25 PM +0000,,,Unknown
POINT (-97.723880202975 30.258166512001),103,70,"201 Chicon St, Austin, TX 78702",FS0007,FIRE STATION,7,10,AFD BUILT,AFD,,AUSTIN,10067292,3120372,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.686234135612 30.531654089298),8,87,"203 Commerce Blvd, Round Rock, TX 78664",FSRR01,FIRE STATION,RR1,0,BUILT,ROUND ROCK,,ROUND ROCK,10167008,3129828,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,02/05/2019 10:22:21 AM +0000,Unknown
POINT (-97.739498779174 30.537434433096),91,155,"2351 Great Oaks Dr, Round Rock, TX 78681",FSSB03,FIRE STATION,SB 3,0,BUILT,SAM BASS,,SAM BASS,,,FD2910,02/26/2024 05:01:23 PM +0000,,,Unknown
POINT (-97.539690964269 30.516687911571),79,143,"150 Swindoll Ln, Hutto, TX 78634",HT002,FIRE STATION,HT 2,0,BUILT,HUTTO,,HUTTO,,,FD2910,02/26/2024 05:00:16 PM +0000,,,Unknown
POINT (-97.767190153921 30.295531631092),114,57,"3009 Windsor Rd, Austin, TX 78703",FS0010,FIRE STATION,10,10,AFD BUILT,AFD,,AUSTIN,10080559,3106388,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.919715347481 30.239506130834),20,41,"9211 Circle Dr, Austin, TX 78736",FS0301,FIRE STATION,301,0,BUILT,ESD 3,,OAK HILL,10059111,3058746,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/09/2015 01:28:26 PM +0000,ENG
POINT (-97.853597839866 30.227827048665),6,13,"5401 McCarty Ln, Austin, TX 78749",FS0027,FIRE STATION,27,10,AFD BUILT,AFD,EMS,AUSTIN,10055323,3079674,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.441669195749 30.716805433389),77,141,"105 S Granger, Granger, TX 76530",GVFD01,FIRE STATION,GVFD 1,0,BUILT,GRANGER VFD,,GRANGER,,,FD2910,02/26/2024 04:59:57 PM +0000,,,Unknown
POINT (-97.770964158905 30.524911116415),127,90,"150 Church Park Rd, Cedar Park, TX 78613",FSCP04,FIRE STATION,CP4,0,BUILT,CEDAR PARK,,CEDAR PARK,10163932,3103299,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,10/16/2015 10:36:37 AM +0000,Unknown
POINT (-97.582692756287 30.246382111151),15,61,"14312 Hunters Bend Rd, Austin, TX 78725",FS0048,FIRE STATION,48,0,BUILT,AFD,EMS,AUSTIN,10064081,3165041,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,08/15/2017 10:49:40 AM +0000,ENG
POINT (-98.037243008452 30.469521166557),99,38,"5200 Travis Oaks Dr, Marble Falls, TX 78654",FS0105,FIRE STATION,105,0,,ESD 1,,MARBLE FALLS,10141961,3019874,FD2396,06/06/2017 04:43:22 PM +0000,FD2396,06/06/2017 04:49:08 PM +0000,ENG
POINT (-97.754911097298 30.276616173186),132,68,"1000 Blanco St, Austin, TX 78703",FS0004,FIRE STATION,4,10,AFD BUILT,AFD,,AUSTIN,10073771,3110422,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.948989910393 30.573283757033),34,23,"14401 Round Mountain Rd, Leander, TX 78641",FS0104,FIRE STATION,104,0,,ESD 1,,LEANDER,10180274,3046861,FD2396,06/06/2017 04:43:22 PM +0000,FD2396,06/06/2017 04:49:08 PM +0000,ENG
POINT (-97.64291469384 30.158677704086),129,112,"7019 Elroy Rd, Del Valle, TX 78617",FS0050,FIRE STATION,50,11,BUILT,AFD,EMS,DEL VALLE,10031728,3146802,FD2396,07/02/2019 10:51:36 AM +0000,FD2396,07/02/2019 11:16:57 AM +0000,ENG
POINT (-97.691088956456 30.299223415509),54,123,"5010 Old Manor Rd, Austin, TX 78723",CTECC,DISPATCH & EOC,CTECC,13,BUILT,AFD,,AUSTIN,,,FD2910,02/26/2024 01:34:02 PM +0000,,,
